"-1.866,-3.202,6.158,-1.398,1.558,2.976","-2.316,-2.654,5.684,-1.12,1.55,2.758","-2.994,-2.444,5.7,-0.788,1.592,2.482","-3.932,-2.882,5.7,-0.45,1.562,2.238","-5.376,-3.664,5.01,-0.454,1.814,1.968","-6.806,-4.276,4.514,-0.76,2.016,1.576","-7.892,-5.376,4.546,-1.224,2.22,1.158","-8.542,-6.58,4.178,-1.474,2.622,0.58","-8.976,-7.364,4.258,-0.746,2.668,-0.004","-9.38,-7.77,3.622,0.67,2.47,-0.378","-10.474,-7.762,3.116,1.876,2.262,-0.93","-11.92,-6.814,4.364,2.304,2.066,-1.804","-13.496,-6.362,3.584,2.11,1.848,-2.562","-15.676,-6.152,3.966,1.518,1.672,-3.314","-17.308,-7.886,5.134,0.826,1.284,-4.196","-17.586,-12.83,2.844,0.07,0.778,-5.24","-17.092,-17.848,1.446,-0.312,0.096,-6.642","-18.102,-18.232,1.308,-0.208,-0.634,-7.94","-19.276,-16.236,0.888,0.202,-1.23,-9.098","-19.3,-16.384,2.46,0.83,-1.384,-10.072","-18.176,-18.756,5.282,1.444,-1.298,-10.706","-17.954,-22.528,8.514,2.488,-1.178,-11.184","-19.844,-23.672,12.526,3.76,-1.28,-11.604","-23.37,-23.904,13.47,4.212,-1.446,-11.814","-25.886,-24.56,13.342,3.44,-1.384,-11.538","-27.452,-24.558,11.736,2.106,-1.026,-11.058","-27.788,-22.844,10.394,0.77,-0.822,-10.482","-27.466,-20.398,8.692,0.246,-1.474,-11.138","-28.598,-18.888,7.666,-2.198,-0.49,-5.68","-31.914,-18.476,6.41,-2.75,-4.438,-2.606","-34.906,-15.542,5.162,-5.952,2.2,-7.484","-34.856,-8.782,3.966,2.15,-1.146,-6.65","-35.054,-1.008,7.042,3.118,-0.384,1.322","-37.666,4.95,9.64,0.474,0.202,-2.094","-38.794,7.392,9.15,-0.256,0.842,-4.778","-25.916,-12.306,17.572,0.484,0.724,-0.972","-19.594,32.246,-23.43,0.19,0.91,-0.082","-20.45,29.824,18.306,0.506,0.924,-0.654","-14.612,-9.262,-24.112,-0.524,1.366,-0.458","5.672,-14.094,-4.054,-0.74,1.438,-0.008","-17.198,19.068,-13.754,-1.006,1.668,0.462","-16.04,14.992,-8.734,-1.106,1.766,0.378","-2.65,-4.43,-2.9,-0.336,1.564,0.444","-9.396,1.3,0.16,-0.18,1.568,0.552","-11.694,11.12,-4.114,-0.06,1.648,0.416","-7.936,8.022,5.762,-0.052,1.84,0.166","-2.158,3.48,0.592,0.268,1.836,0.384","-0.782,2.784,6.476,0.584,1.7,0.708","-3.794,0.902,6.522,0.592,1.572,0.706","-4.834,-2.566,4.68,0.392,1.37,0.656"
"-7.566,-1.562,7.62,-0.54,0.834,2.842","-7.884,-1.586,7.03,-0.138,1.074,2.748","-8.358,-1.444,6.876,0.348,1.228,2.574","-8.73,-0.87,6.75,0.854,1.366,2.36","-9.074,-0.588,6.624,1.18,1.52,2.104","-8.934,-0.974,6.214,1.158,1.696,1.776","-8.474,-1.962,5.43,0.748,1.854,1.342","-8.03,-2.94,4.532,0.042,2.138,0.792","-7.496,-3.758,4.528,-0.696,2.31,0.156","-6.86,-4.9,4.204,-1.346,2.754,-0.72","-5.928,-6.446,4.92,-1.602,3.128,-1.706","-4.896,-7.522,5.93,-1.368,2.986,-2.6","-4.228,-7.804,6.966,-1.758,3.062,-3.872","-4.534,-7.456,7.888,-2.682,2.468,-5.39","-4.57,-8.346,8.696,-4.14,1.798,-6.88","-4.592,-9.64,7.896,-5.32,1.68,-8.37","-5.076,-11.48,9.632,-5.062,1.738,-9.71","-6.53,-16.124,10.118,-3.598,2.014,-10.354","-10.806,-19.592,10.04,-1.456,2.448,-10.706","-17.652,-19.952,14.278,0.536,2.532,-10.97","-23.422,-20.51,12.298,1.856,2.9,-11.17","-28.254,-19.46,15.05,2.608,3.102,-11.32","-29.444,-18.798,15.734,3.172,3.488,-11.26","-28.434,-20.644,11.724,3.094,3.828,-12.256","-28.008,-21.124,11.516,1.836,3.882,-12.166","-28.63,-18.304,8.45,-1.696,3.538,-11.712","-30.734,-13.684,3.618,-5.036,3.56,-9.562","-30.138,-8.254,4.26,0.486,2.474,-11.728","-27.33,-7.744,2.246,3.014,-0.644,-5.552","-24.722,-6.196,4.698,-0.214,1.018,-4.908","-24.926,-6.39,2.88,-1.396,1.652,-7.666","-23.558,-4.118,6.964,-1.616,1.558,-5.322","-31.65,6.384,15.914,-0.218,1.526,-1.69","-37.76,24.754,23.818,0.562,1.186,-1.11","-36.716,12.636,12.294,-0.222,1.214,-1.69","-24.666,-9.06,-3.694,-0.33,0.928,-1.372","-18.674,33.388,-0.288,-0.446,0.878,-0.31","-14.388,29.696,-6.682,-0.666,0.976,0.116","-0.488,1.916,-2.794,-0.508,0.906,0.07","4.408,-7.684,-6.336,0.09,0.698,0.216","-5.35,1.996,-9.452,0.524,0.616,0.474","-9.884,10.898,-1.88,0.492,0.566,0.646","-3.968,7.704,-1.286,-0.024,0.696,0.732","0.5,2.972,2.87,-0.33,0.712,0.696","1.064,4.014,3.01,-0.38,0.66,0.646","0.744,2.722,4.344,-0.21,0.566,0.688","0.474,-1.692,4.94,0.078,0.418,0.706","0.106,-3.08,5.42,0.378,0.312,0.696","0.468,-1.866,5.848,0.714,0.23,0.688","1.676,0.262,7.654,0.826,0.24,0.668"
"-5.206,-2.734,4.842,-0.49,0.568,1.758","-4.986,-2.444,4.926,-0.3,0.612,1.652","-4.952,-2.62,4.444,-0.168,0.65,1.524","-4.952,-2.746,4.446,-0.228,0.678,1.346","-5.162,-2.886,4.234,-0.458,0.834,1.144","-5.46,-3.144,3.95,-0.516,1.0,0.968","-5.736,-3.19,4.088,-0.372,1.148,0.768","-5.864,-2.98,4.002,-0.414,1.502,0.262","-6.056,-2.73,3.738,-0.334,2.022,-0.496","-6.282,-2.364,3.396,0.3,2.468,-1.17","-6.756,-2.034,3.562,1.194,2.704,-1.882","-7.294,-2.074,4.404,1.998,2.706,-2.836","-7.246,-3.36,3.992,1.752,2.756,-3.876","-7.166,-5.232,2.788,0.26,2.626,-5.01","-7.948,-6.756,3.008,-1.958,2.354,-6.474","-9.258,-9.566,3.702,-3.66,2.266,-8.206","-9.86,-14.628,2.894,-3.362,1.848,-9.48","-11.006,-19.612,1.218,-1.58,1.446,-10.36","-12.96,-21.978,1.004,0.23,1.228,-10.938","-16.204,-21.596,5.166,1.612,1.22,-11.33","-20.82,-19.338,9.262,2.788,1.31,-11.472","-26.894,-16.82,14.034,3.88,1.52,-11.496","-32.84,-16.15,17.732,5.014,1.518,-11.508","-37.208,-20.858,17.268,5.654,1.226,-11.284","-38.804,-23.18,15.5,5.182,0.664,-10.628","-38.804,-20.358,11.596,4.13,0.258,-9.7","-38.768,-15.166,7.318,3.798,0.006,-8.884","-38.804,-11.702,3.514,2.046,1.142,-8.058","-38.804,-9.314,1.11,0.176,-1.414,-2.124","-38.802,-8.99,-1.978,-5.14,0.162,-6.094","-38.804,-6.662,-3.62,-1.656,1.168,-9.678","-38.804,-1.54,-4.77,1.85,-0.274,-3.016","-38.348,5.532,-5.42,3.086,-0.694,-0.054","-33.384,6.846,-2.448,1.536,0.092,-3.9","-29.482,-4.512,9.758,0.01,0.302,-3.948","-16.898,0.514,-13.536,0.204,0.248,-2.208","-34.254,38.578,7.746,0.504,0.464,-1.58","-21.294,6.924,4.106,0.856,0.624,-1.514","0.25,-32.88,-6.84,0.082,0.728,-1.402","-4.006,-0.802,-8.864,-0.22,0.788,-1.144","-23.562,28.068,-1.024,0.142,0.79,-0.904","-15.884,19.232,1.318,1.0,0.632,-0.58","-3.992,1.762,0.142,1.282,0.496,-0.526","-0.656,2.838,-1.96,0.438,0.692,-0.604","-0.404,8.79,-1.112,-0.394,0.972,-0.54","-3.142,7.616,4.546,-0.524,1.062,-0.194","-3.962,3.624,6.61,-0.102,0.986,0.178","-2.814,0.29,5.248,0.224,0.956,0.284","-1.556,-2.324,3.94,0.42,1.004,0.216","-1.674,-2.038,3.432,0.642,0.998,0.344"
"-3.316,-2.876,4.452,-1.282,1.002,2.97","-2.814,-2.684,4.19,-1.056,1.098,2.762","-2.25,-2.078,4.118,-0.772,1.2,2.57","-2.054,-1.152,4.062,-0.53,1.306,2.322","-2.09,-0.7,4.246,-0.416,1.5,1.964","-2.396,-0.95,4.122,-0.26,1.756,1.642","-3.058,-1.292,4.082,-0.112,2.182,1.334","-3.998,-1.394,4.67,-0.058,2.886,0.766","-4.742,-1.398,5.152,0.156,3.57,-0.028","-5.058,-1.3,5.578,0.454,4.242,-0.938","-5.39,-1.186,6.252,0.546,4.766,-2.112","-6.22,-1.07,6.934,0.28,4.818,-3.372","-7.44,-1.388,7.246,-1.382,4.482,-4.784","-9.388,-2.236,8.042,-3.904,3.79,-6.476","-11.208,-4.798,7.998,-5.54,3.42,-8.188","-13.258,-10.5,6.98,-4.72,3.77,-9.812","-14.972,-16.794,6.528,-2.258,3.846,-10.588","-17.83,-21.962,6.932,0.276,3.644,-10.902","-21.982,-24.364,8.252,2.208,3.33,-11.67","-27.174,-21.244,11.838,3.484,2.842,-12.11","-30.244,-15.59,11.786,4.87,2.594,-12.17","-32.906,-11.866,13.274,6.608,2.406,-12.452","-33.456,-13.81,13.964,8.296,2.012,-12.384","-34.166,-18.81,11.394,7.974,1.804,-12.346","-37.774,-15.434,10.648,5.29,1.508,-11.938","-38.804,-8.344,7.838,2.216,0.826,-10.93","-38.784,-4.67,4.182,-3.362,0.094,-8.066","-38.772,-5.188,3.65,2.91,1.79,-11.236","-38.464,-10.284,0.24,8.152,-1.47,-4.86","-37.778,-13.788,-2.536,3.514,-0.986,-0.952","-38.804,-8.522,-3.936,0.28,-0.038,-7.332","-38.804,5.564,-3.754,0.514,0.04,-6.45","-38.784,13.69,4.318,1.71,0.202,-2.372","-34.986,26.648,13.952,2.666,0.0,-1.976","-33.384,7.91,16.882,1.472,0.452,-2.542","-13.464,-24.074,-11.394,0.844,0.494,-2.348","-8.434,29.112,2.054,0.784,0.494,-1.564","-25.332,35.672,0.996,0.82,0.484,-1.18","-9.504,3.638,-2.84,1.098,0.388,-1.064","0.986,-14.066,-1.918,0.892,0.474,-0.726","-6.438,-0.346,-8.03,-0.056,0.756,-0.402","-10.148,15.6,1.816,-0.612,1.058,-0.6","-6.874,13.18,0.91,-0.27,0.948,-0.632","-3.282,8.182,3.118,0.198,0.79,-0.656","-2.384,7.416,3.506,0.318,0.826,-0.694","-2.096,7.002,3.202,0.224,0.86,-0.578","-0.802,5.216,3.746,0.098,0.94,-0.234","0.164,4.43,5.856,0.242,0.968,0.01","0.054,2.34,6.13,0.48,0.894,0.14","-0.096,-1.386,3.656,0.518,0.85,0.108"
"-5.052,0.708,8.05,0.49,0.354,3.16","-5.068,-0.094,7.39,0.782,0.498,3.102","-5.238,-0.586,6.938,0.918,0.812,2.946","-5.346,-0.884,6.754,0.872,1.02,2.726","-5.256,-1.108,7.234,0.592,1.382,2.424","-4.91,-1.47,7.4,0.338,1.828,1.964","-4.756,-2.02,6.884,0.012,2.22,1.376","-4.812,-3.102,6.202,-0.464,2.792,0.726","-5.038,-3.802,5.832,-0.9,3.4,-0.05","-4.912,-4.53,5.908,-1.428,3.758,-1.074","-5.222,-5.478,5.366,-1.888,3.796,-2.206","-6.356,-6.404,6.614,-1.864,3.578,-3.51","-7.63,-7.506,6.828,-1.554,3.046,-4.962","-9.664,-9.55,6.858,-1.832,2.424,-6.522","-12.586,-11.478,8.784,-2.688,2.15,-8.018","-15.638,-13.484,9.192,-3.41,2.198,-9.554","-19.9,-16.556,8.7,-3.38,2.25,-10.352","-23.91,-19.992,8.752,-1.97,2.628,-10.866","-27.154,-24.422,10.21,0.208,2.812,-11.54","-30.084,-26.91,11.084,2.336,2.872,-12.028","-33.65,-23.582,11.204,4.088,2.702,-12.658","-36.45,-18.056,11.452,5.258,2.312,-13.138","-37.73,-14.814,8.686,6.596,1.846,-13.588","-37.472,-14.874,6.596,8.174,1.128,-14.286","-36.67,-15.408,6.934,9.264,-0.124,-13.93","-35.624,-17.098,3.98,8.166,-1.154,-12.946","-35.802,-14.99,4.512,5.588,-1.996,-11.416","-38.65,-11.342,3.568,-5.156,-2.4,-9.426","-38.804,-8.37,2.414,-6.464,1.594,-8.884","-38.762,-7.128,4.338,1.54,0.062,-10.602","-38.794,-6.616,5.39,4.478,-1.942,-1.002","-38.804,-6.688,3.494,0.824,-1.434,-4.296","-38.804,3.974,0.614,-0.722,-0.856,-6.864","-38.804,18.214,-6.164,-2.362,0.632,-5.024","-38.618,27.85,2.364,0.144,0.868,-2.31","-26.552,34.988,18.524,1.79,0.794,-0.986","-25.47,-21.564,-1.784,1.584,0.542,-1.224","-5.326,-14.526,-12.806,-0.14,0.852,-1.524","-31.698,19.956,-6.166,-1.25,1.054,-2.254","-23.842,21.238,-14.996,-1.07,1.08,-1.702","-7.416,-1.102,-0.348,0.402,1.03,-0.832","-0.342,-9.46,-10.796,1.07,0.972,-0.208","-8.458,-1.066,-4.312,0.748,1.2,-0.14","-16.774,11.18,-2.796,0.108,1.388,-0.37","-12.56,13.438,3.12,-0.144,1.232,-0.202","-6.638,13.004,3.16,-0.5,1.188,-0.21","0.628,5.432,3.392,-0.788,1.12,-0.198","1.75,-2.278,2.476,-0.72,1.04,0.002","-2.516,-2.92,3.658,-0.552,0.958,0.198","-3.73,0.656,6.42,-0.394,0.89,0.236"
"-6.188,0.044,6.808,-1.054,1.574,3.97","-6.346,-0.436,6.646,-1.12,1.558,3.984","-6.312,-0.894,6.51,-1.208,1.554,3.962","-6.24,-1.13,6.368,-1.294,1.516,3.874","-6.018,-1.404,5.712,-1.454,1.558,3.742","-5.76,-1.534,5.54,-1.614,1.604,3.612","-5.676,-1.334,6.062,-1.7,1.716,3.416","-5.484,-1.52,6.358,-1.804,1.942,3.028","-5.244,-1.998,6.336,-2.128,2.158,2.556","-5.18,-2.302,6.148,-2.778,2.386,1.974","-5.448,-2.226,6.062,-3.57,2.85,0.966","-5.59,-2.558,6.604,-3.864,2.99,-0.196","-5.206,-3.284,6.386,-3.38,2.908,-1.51","-5.078,-3.568,6.352,-2.276,2.216,-3.032","-5.386,-3.882,7.148,-1.902,0.958,-4.566","-6.474,-4.24,8.304,-2.662,0.334,-6.48","-10.046,-2.676,10.844,-3.462,0.156,-8.538","-15.664,-1.82,14.78,-4.19,0.382,-9.936","-21.86,-2.93,14.846,-3.884,1.242,-10.706","-28.282,-4.96,15.112,-1.89,2.06,-11.5","-32.732,-11.578,14.558,0.696,2.39,-11.862","-34.394,-15.596,12.388,3.046,2.21,-12.16","-35.748,-12.686,13.666,4.738,1.754,-12.89","-35.082,-11.492,10.41,5.69,1.028,-13.146","-32.35,-11.256,4.512,6.182,0.472,-13.104","-31.44,-10.294,4.09,5.112,-0.148,-12.796","-32.966,-13.124,2.862,2.914,-0.256,-11.908","-34.264,-15.524,1.642,-0.618,0.046,-10.104","-37.152,-13.032,3.036,-0.37,1.196,-11.584","-38.804,-8.046,4.07,4.152,1.26,-10.046","-38.804,-4.298,4.914,3.198,-0.672,-4.082","-38.764,0.328,8.418,1.822,-0.512,-5.788","-38.46,5.746,9.16,0.432,0.092,-7.948","-35.68,16.37,9.656,1.35,0.088,-4.644","-31.662,25.666,9.858,2.196,0.04,-2.706","-27.182,34.884,5.994,2.224,-0.266,-2.912","-19.022,-6.262,10.69,1.266,-0.032,-2.472","-23.31,10.244,-3.5,-0.186,0.352,-2.184","-28.156,33.778,0.046,-0.226,0.328,-2.188","-22.98,22.684,3.794,-0.09,0.254,-1.756","-2.694,4.028,-3.19,0.09,0.12,-1.382","-2.988,0.876,-0.708,0.068,0.124,-1.326","-10.102,9.946,-3.986,0.046,0.066,-1.23","-7.394,11.914,-1.296,0.008,0.116,-1.054","-4.112,9.468,1.312,0.066,0.122,-0.78","-1.332,5.558,0.176,-0.202,0.232,-0.58","0.064,1.994,2.096,-0.588,0.32,-0.502","-1.186,2.322,3.568,-0.856,0.394,-0.452","-2.36,3.032,5.512,-0.766,0.354,-0.378","-1.874,3.186,5.248,-0.624,0.316,-0.25"
"-4.304,-0.076,5.17,-1.478,0.67,3.724","-4.058,-0.156,4.792,-1.296,0.784,3.91","-3.816,-0.488,4.618,-1.166,0.958,4.038","-3.73,-0.634,4.846,-1.044,1.128,4.066","-3.828,-0.696,4.612,-0.97,1.368,4.006","-4.074,-1.102,4.422,-0.934,1.604,3.844","-4.192,-1.814,4.608,-0.924,1.85,3.656","-4.352,-2.64,4.722,-1.098,2.324,3.26","-4.794,-3.21,4.864,-1.114,2.932,2.522","-5.424,-3.826,5.208,-0.692,3.484,1.666","-5.934,-4.948,5.648,-0.16,3.642,0.916","-6.39,-6.372,5.918,-0.366,3.72,-0.15","-7.49,-7.88,5.962,-1.494,3.912,-1.778","-9.244,-9.13,6.608,-3.454,3.696,-3.698","-11.682,-9.714,8.268,-5.452,3.36,-5.476","-14.714,-11.0,9.51,-6.508,2.574,-7.326","-17.874,-14.098,9.456,-6.372,2.098,-8.598","-20.898,-16.866,7.458,-5.122,2.19,-9.628","-24.462,-17.502,9.074,-3.324,2.564,-10.374","-26.266,-17.286,12.242,-1.216,2.832,-10.904","-28.872,-17.538,15.444,1.034,2.65,-11.094","-31.478,-17.662,18.652,2.402,2.374,-11.288","-33.204,-19.55,14.62,3.69,2.098,-11.326","-32.204,-20.142,12.234,4.886,2.154,-11.438","-29.448,-19.106,10.418,4.684,2.108,-12.248","-27.73,-16.72,10.26,2.116,1.706,-12.08","-27.724,-12.626,8.672,-5.158,1.57,-9.67","-28.196,-10.416,6.742,0.046,5.936,-12.144","-27.938,-5.916,4.946,5.646,1.478,-7.266","-25.368,-4.508,3.76,3.732,0.476,-1.11","-21.206,-4.004,4.518,1.886,0.816,-6.924","-18.828,-0.778,1.13,3.084,0.582,-7.324","-15.834,7.37,1.47,4.734,0.756,-1.982","-23.088,26.546,10.984,5.376,0.198,-0.57","-31.118,28.046,19.32,2.988,0.046,-1.73","-33.396,-17.328,-4.976,0.688,0.262,-2.204","-29.23,35.322,-3.766,-0.2,0.446,-1.838","-33.924,38.578,2.592,0.348,0.71,-0.966","-7.574,7.052,-3.286,0.982,0.6,-0.274","11.044,-17.462,2.324,0.532,0.566,-0.098","-1.526,-6.458,-6.542,-0.08,0.584,-0.296","-14.154,7.394,-1.234,-0.136,0.67,-0.462","-8.718,11.156,0.848,0.208,0.73,-0.306","-0.93,2.236,2.662,0.646,0.582,-0.092","2.516,-2.218,2.262,0.856,0.586,0.1","-1.072,-0.572,2.406,0.778,0.66,0.09","-4.05,1.856,5.076,0.606,0.642,-0.028","-2.79,3.712,6.01,0.654,0.572,-0.104","0.622,0.904,5.978,0.74,0.48,-0.296","1.436,-2.716,6.196,0.562,0.386,-0.512"
"-5.548,-1.976,5.092,-0.848,0.5,3.342","-5.356,-2.034,4.828,-0.818,0.516,3.322","-5.334,-2.304,4.622,-0.778,0.536,3.272","-5.486,-2.578,4.23,-0.816,0.578,3.226","-5.806,-2.57,4.294,-0.818,0.706,3.12","-6.04,-2.572,4.31,-0.64,0.862,2.892","-6.008,-2.914,3.864,-0.454,1.028,2.562","-6.082,-3.058,3.81,-0.418,1.326,2.164","-6.276,-2.948,4.21,-0.376,1.87,1.67","-6.198,-3.064,4.228,-0.504,2.484,0.882","-6.17,-3.5,4.596,-1.03,3.334,-0.174","-6.3,-3.956,5.01,-1.492,4.16,-1.44","-6.32,-5.004,4.664,-1.032,4.164,-2.486","-6.408,-6.122,4.35,-0.802,3.614,-3.77","-6.98,-7.042,4.934,-1.506,2.688,-5.406","-7.496,-8.43,5.666,-2.438,2.076,-7.186","-9.044,-10.106,5.594,-3.536,1.896,-8.964","-12.944,-11.754,7.676,-4.052,2.346,-10.094","-18.168,-14.884,8.94,-2.834,2.95,-11.102","-24.34,-19.842,9.428,-0.756,3.204,-11.38","-31.104,-22.426,11.79,1.452,3.434,-11.48","-35.97,-21.73,15.542,3.41,3.404,-11.822","-35.052,-18.706,16.218,4.566,3.086,-11.992","-32.052,-16.556,13.464,5.516,2.73,-12.244","-30.508,-13.972,14.016,6.09,2.2,-12.534","-31.724,-14.878,11.742,4.964,1.762,-12.568","-32.834,-17.09,8.374,2.524,1.716,-12.322","-33.426,-14.532,6.518,-2.808,0.844,-10.496","-34.246,-11.972,4.306,-1.674,1.976,-10.726","-35.764,-9.0,3.986,7.194,-0.41,-9.372","-36.928,-7.926,6.05,5.206,-1.372,-1.462","-36.616,-8.59,7.21,2.204,-0.552,-5.446","-35.756,-2.2,8.95,-1.018,0.11,-7.582","-36.524,10.288,10.86,-0.352,0.25,-3.636","-38.628,20.0,15.582,2.118,0.672,-2.008","-35.706,34.264,18.724,2.258,0.084,-2.122","-30.998,-19.35,4.01,0.712,0.458,-1.906","-12.64,12.274,-5.54,-0.87,0.968,-1.914","-19.02,38.578,-3.068,-0.812,0.69,-1.336","-13.818,22.622,-0.17,-0.344,0.59,-0.794","3.286,-2.218,-5.988,0.278,0.298,-0.772","-0.034,-11.414,-7.18,0.176,0.32,-0.76","-11.194,-0.956,-9.014,-0.282,0.444,-0.274","-8.096,13.788,-1.836,-0.696,0.642,0.032","-3.548,11.294,4.398,-0.664,0.616,0.24","-0.818,4.246,2.17,-0.546,0.564,0.454","-1.098,0.156,4.13,-0.57,0.48,0.394","-2.892,1.18,2.564,-0.67,0.484,0.238","-2.274,2.182,5.482,-0.638,0.484,0.154","0.286,3.31,6.466,-0.478,0.54,0.246"
"-5.722,-1.568,5.834,-0.174,0.924,2.7","-6.006,-1.764,5.654,0.002,0.988,2.586","-6.318,-1.85,5.63,0.162,1.12,2.442","-6.584,-1.864,5.39,0.452,1.258,2.266","-6.88,-2.02,5.11,0.76,1.444,2.008","-6.984,-2.382,4.678,1.12,1.64,1.692","-7.078,-2.766,4.1,1.388,1.87,1.382","-7.392,-2.968,3.872,1.46,2.32,0.852","-7.844,-2.934,3.89,1.648,2.724,-0.018","-8.21,-3.316,3.64,1.66,3.06,-1.088","-8.398,-4.258,3.096,0.854,2.996,-2.302","-8.928,-5.414,3.082,-0.916,2.638,-3.518","-8.994,-6.694,2.372,-3.284,2.04,-4.888","-8.91,-7.564,2.244,-5.436,1.09,-6.662","-9.632,-7.536,3.39,-6.842,0.384,-8.296","-11.332,-8.924,3.73,-6.724,0.08,-9.778","-13.85,-11.456,5.836,-5.7,0.126,-10.794","-18.304,-12.202,8.714,-4.4,0.56,-11.178","-23.886,-11.772,15.004,-2.382,1.194,-11.396","-27.758,-10.714,18.62,-0.076,1.676,-11.44","-31.566,-10.662,18.846,1.776,1.802,-11.244","-34.226,-11.244,20.484,3.286,1.846,-11.344","-34.862,-12.578,18.258,4.454,1.8,-11.716","-33.798,-14.708,14.964,5.424,1.368,-12.232","-31.784,-13.674,12.422,6.42,0.364,-12.634","-31.01,-12.72,9.914,7.358,0.068,-13.354","-29.67,-12.798,6.292,4.416,-0.214,-9.996","-28.916,-11.154,4.04,-3.69,-0.842,-7.742","-29.236,-7.57,3.854,-3.294,0.962,-13.946","-28.62,-6.718,5.32,3.264,0.194,-11.918","-28.2,-6.638,7.594,6.394,-0.404,-4.646","-28.35,-7.664,8.024,7.666,-0.948,-4.534","-31.684,-6.99,11.922,6.892,-1.672,-5.482","-28.556,-7.904,-9.894,3.886,-1.35,-3.928","-34.704,36.304,-7.082,0.686,0.058,-3.99","-37.592,37.67,9.712,-0.056,0.284,-4.248","-21.298,-4.35,-3.574,-0.236,0.486,-2.406","-9.662,-16.49,3.36,0.2,0.624,-1.382","-19.964,5.692,-5.528,0.748,0.324,-1.462","-19.756,14.674,-7.708,0.226,0.488,-1.204","-7.22,13.142,-4.114,0.16,0.484,-0.752","-1.102,7.36,2.586,-0.318,0.582,-0.49","-0.996,-1.188,-0.094,-0.71,0.702,-0.218","0.426,-6.922,0.688,-0.898,0.72,-0.122","-2.818,-1.186,2.278,-0.79,0.642,-0.126","-6.304,3.688,1.252,-0.652,0.576,0.02","-3.136,4.864,6.24,-1.036,0.742,0.116","0.584,4.856,5.898,-1.634,0.852,-0.02","1.378,5.04,7.344,-2.114,0.916,-0.036","1.738,5.274,8.192,-2.066,0.92,-0.002"
"-6.076,-3.064,5.65,-0.542,1.514,0.856","-6.174,-3.186,5.466,-0.386,1.674,0.61","-6.566,-3.294,5.138,-0.122,1.852,0.458","-6.992,-3.466,5.086,0.258,1.992,0.222","-7.2,-3.7,5.108,0.428,1.968,-0.19","-7.144,-4.078,4.914,0.398,2.096,-0.592","-6.834,-4.054,4.52,0.312,2.258,-0.884","-6.998,-3.942,4.568,0.106,2.432,-1.464","-6.888,-4.646,5.182,-0.348,2.622,-2.54","-6.72,-5.942,5.57,-1.46,2.276,-3.492","-6.974,-7.46,5.352,-3.594,1.766,-4.478","-8.004,-8.716,5.262,-5.79,1.288,-5.846","-8.858,-10.056,7.036,-6.47,0.51,-7.394","-8.942,-11.858,7.994,-6.03,0.034,-8.398","-9.478,-13.396,8.844,-5.016,0.076,-8.936","-10.436,-16.542,11.68,-3.004,0.294,-9.358","-10.998,-19.874,12.416,-0.588,0.362,-9.3","-13.464,-19.442,15.866,1.564,0.534,-8.674","-16.744,-19.29,18.792,3.348,1.034,-8.38","-18.934,-22.642,17.662,4.482,1.564,-8.786","-18.418,-24.09,17.32,4.546,1.958,-9.008","-16.826,-21.288,16.028,2.444,1.974,-9.564","-16.174,-17.83,12.758,-3.226,2.846,-9.056","-14.326,-16.18,8.08,-4.372,4.26,-11.514","-10.624,-12.292,6.028,-3.414,4.806,-12.852","-6.48,-7.802,4.04,-1.172,5.092,-6.984","-1.596,-6.758,-0.238,-0.024,1.072,-5.384","3.67,-6.184,-0.416,1.326,-1.968,-6.284","6.754,-3.544,-0.214,2.098,-0.78,-5.616","5.324,2.368,4.524,2.504,0.744,-2.312","-10.758,17.964,2.886,2.856,0.576,-0.834","-17.952,-4.67,7.406,2.416,0.194,-1.984","-38.514,2.716,11.07,1.46,0.332,-1.614","-38.804,21.762,1.846,1.168,0.578,0.024","-37.298,20.614,-5.57,1.72,0.2,0.226","-20.292,3.902,-5.432,2.616,-0.194,-0.012","10.102,-13.892,-4.146,2.296,-0.078,0.324","11.884,-15.456,-8.318,1.482,0.298,0.866","-5.358,-4.528,-9.08,0.968,0.576,0.896","-7.406,-4.222,-3.78,0.982,0.62,0.838","-0.428,-6.708,-1.908,1.336,0.482,0.938","-2.194,-2.69,0.032,1.296,0.47,0.828","-1.872,0.494,-0.016,1.148,0.486,0.448","0.556,1.37,4.308,1.038,0.514,0.116","2.984,2.018,6.062,1.098,0.542,0.168","3.43,2.318,6.586,1.228,0.57,0.436","3.136,0.174,6.204,1.266,0.62,0.578","2.52,-2.216,5.37,1.32,0.598,0.44","1.356,-1.812,7.074,1.392,0.532,0.23","1.556,-0.962,7.768,1.524,0.408,0.116"
